#species: Scientific name.
#average_mira: Average abundance relative to the major isoform by 5% bins.
#framepreserving_proportion: Proportion of frame-preserving spliced variants.
#XerrorBar: Standard deviation on x axis.
#intervalle: Intervalle of the abundance relative to the major isoform.
#Freq: Number of spliced variants by bins.
species	average_mira	framepreserving_proportion	XerrorBar	intervalle	Freq
Callorhinchus_milii	0.0000867711122000051	0.417491749174917	0.00000207760079247851	[2.57e-06,0.000174]	606
Callorhinchus_milii	0.000279119491068045	0.364686468646865	0.00000260146018992342	(0.000174,0.000393]	606
Callorhinchus_milii	0.000532292972077059	0.381818181818182	0.00000322150162025538	(0.000393,0.000666]	605
Callorhinchus_milii	0.000821945446353573	0.346534653465347	0.00000369410825141782	(0.000666,0.000988]	606
Callorhinchus_milii	0.00117200401161512	0.350413223140496	0.00000462946866428959	(0.000988,0.00138]	605
Callorhinchus_milii	0.00161993575507022	0.377265238879736	0.00000581154738991966	(0.00138,0.00187]	607
Callorhinchus_milii	0.00214019109007756	0.372937293729373	0.0000069338267158667	(0.00187,0.00244]	606
Callorhinchus_milii	0.00279494161884822	0.390804597701149	0.00000877176815929265	(0.00244,0.00319]	609
Callorhinchus_milii	0.00365372931789177	0.334426229508197	0.0000104609922557542	(0.00319,0.0041]	610
Callorhinchus_milii	0.00468306594183446	0.346153846153846	0.0000147117505451418	(0.0041,0.00532]	598
Callorhinchus_milii	0.0060685718848186	0.367549668874172	0.0000181874126054976	(0.00532,0.00687]	604
Callorhinchus_milii	0.00784432634072445	0.369281045751634	0.0000238670111182988	(0.00687,0.00893]	612
Callorhinchus_milii	0.01029942171648	0.37953795379538	0.0000330172124551807	(0.00893,0.0118]	606
Callorhinchus_milii	0.0137630222898099	0.372909698996655	0.0000499671493417835	(0.0118,0.016]	598
Callorhinchus_milii	0.0191426245458078	0.396381578947368	0.0000802959098962411	(0.016,0.023]	608
Callorhinchus_milii	0.027934795502298	0.379807692307692	0.000123465663764256	(0.023,0.0333]	624
Callorhinchus_milii	0.042572512633746	0.514529914529914	0.000235563650283982	(0.0333,0.0537]	585
Callorhinchus_milii	0.0731718822990197	0.591735537190083	0.000508921768688074	(0.0537,0.0988]	605
Callorhinchus_milii	0.146037933292666	0.759075907590759	0.00124689350267097	(0.0988,0.209]	606
Callorhinchus_milii	0.330967266085041	0.891089108910891	0.00322982682413621	(0.209,0.499]	606
Gallus_gallus	0.0000225956433173592	0.384469096671949	0.000000211994637138433	[1.51e-07,4.25e-05]	3155
Gallus_gallus	0.000059046424486234	0.36513470681458	0.000000170060281033888	(4.25e-05,7.55e-05]	3155
Gallus_gallus	0.0000911757102102503	0.370522979397781	0.000000162449193307896	(7.55e-05,0.000107]	3155
Gallus_gallus	0.000124553221071654	0.372741679873217	0.0000001818878374345	(0.000107,0.000143]	3155
Gallus_gallus	0.000162382058993399	0.361533586818758	0.00000020263189491352	(0.000143,0.000183]	3156
Gallus_gallus	0.000205792319800869	0.360494610019023	0.000000239587653619634	(0.000183,0.000229]	3154
Gallus_gallus	0.000256527818236413	0.361128725428028	0.000000289312482672431	(0.000229,0.000285]	3154
Gallus_gallus	0.000319400136008919	0.352456418383518	0.000000361414682694771	(0.000285,0.000356]	3155
Gallus_gallus	0.000397091965405888	0.341254752851711	0.000000441594795508006	(0.000356,0.000442]	3156
Gallus_gallus	0.00049520501438249	0.349080532656944	0.000000574851278062497	(0.000442,0.000554]	3154
Gallus_gallus	0.000626657859793987	0.358771374287524	0.000000787538027514177	(0.000554,0.000707]	3158
Gallus_gallus	0.000808450382400071	0.346324461343473	0.00000107153589718391	(0.000707,0.000914]	3156
Gallus_gallus	0.0010480941559254	0.355760076166296	0.00000148425483121167	(0.000914,0.0012]	3151
Gallus_gallus	0.0014131353038224	0.339885859226379	0.00000229278659134612	(0.0012,0.00166]	3154
Gallus_gallus	0.00196936733594105	0.33122028526149	0.00000359139714308112	(0.00166,0.00236]	3155
Gallus_gallus	0.00289009542008222	0.309667194928685	0.0000060927256226467	(0.00236,0.00354]	3155
Gallus_gallus	0.00454963318328915	0.305229793977813	0.0000115682648379737	(0.00354,0.00586]	3155
Gallus_gallus	0.0083255770309547	0.306257901390645	0.0000299239507360657	(0.00586,0.0118]	3164
Gallus_gallus	0.0210484367094292	0.337253655435474	0.000132755147235763	(0.0118,0.0387]	3146
Gallus_gallus	0.158404245359825	0.640887480190174	0.00219772069175992	(0.0387,0.496]	3155
Crocodylus_porosus	0.0000770974155409256	0.381407471763684	0.00000124383592115828	[2.2e-06,0.00015]	1151
Crocodylus_porosus	0.000222393456546216	0.370981754995656	0.00000128772298731154	(0.00015,0.000299]	1151
Crocodylus_porosus	0.000373753838549814	0.366637706342311	0.00000129643399683024	(0.000299,0.000454]	1151
Crocodylus_porosus	0.000531427934723784	0.367736339982654	0.00000134151309089967	(0.000454,0.000611]	1153
Crocodylus_porosus	0.000703390351444592	0.360869565217391	0.00000167450905510874	(0.000611,0.000803]	1150
Crocodylus_porosus	0.000909942518746649	0.370338248048569	0.0000018577183117376	(0.000803,0.00103]	1153
Crocodylus_porosus	0.00116351198719355	0.360556038227628	0.00000237893425693289	(0.00103,0.00131]	1151
Crocodylus_porosus	0.00146662919140939	0.347826086956522	0.00000285527805838956	(0.00131,0.00164]	1150
Crocodylus_porosus	0.00183293714760894	0.374238468233246	0.00000345601305202493	(0.00164,0.00204]	1149
Crocodylus_porosus	0.00229489351863172	0.351867940920938	0.00000460788329953417	(0.00204,0.00257]	1151
Crocodylus_porosus	0.00290383671726518	0.347186147186147	0.00000588275659091125	(0.00257,0.00327]	1155
