#species: Scientific name.
#SVR: Average per-intron alternative splicing rate among BUSCO major introns (%).
#Bioproject: Bioproject.
#couverture: Median per-base read coverage across BUSCO genes.
#nbIntron: Number of introns studied.
#list_rnaseq: SRA Accession of the RNA-seq samples studied.
#organs: Organs studied.
species	SVR	Bioproject	couverture	nbIntron	list_rnaseq	organs
Gallus_gallus	1.48049495085657	Heart PRJEB26695	1385	7586	ERR2576552;ERR2576553;ERR2576564;ERR2576565;ERR2576576;ERR2576577;ERR2576588;ERR2576589;ERR2576492;ERR2576493;ERR2576504;ERR2576505;ERR2576516;ERR2576517;ERR2576528;ERR2576529;ERR2576540;ERR2576541;ERR2576432;ERR2576433;ERR2576444;ERR2576445;ERR2576456;ERR2576457;ERR2576468;ERR2576469;ERR2576480;ERR2576481;ERR2576383;ERR2576384;ERR2576395;ERR2576396;ERR2576397;ERR2576408;ERR2576409;ERR2576420;ERR2576421	Heart
Gallus_gallus	1.38981225148716	Kidney PRJEB26695	1808	7633	ERR2576554;ERR2576555;ERR2576566;ERR2576567;ERR2576578;ERR2576579;ERR2576590;ERR2576591;ERR2576494;ERR2576495;ERR2576506;ERR2576507;ERR2576518;ERR2576519;ERR2576530;ERR2576531;ERR2576542;ERR2576543;ERR2576434;ERR2576435;ERR2576446;ERR2576447;ERR2576458;ERR2576459;ERR2576470;ERR2576471;ERR2576482;ERR2576483;ERR2576385;ERR2576386;ERR2576398;ERR2576399;ERR2576410;ERR2576411;ERR2576422;ERR2576423	Kidney
Gallus_gallus	1.35242663323072	Liver PRJEB26695	931	7616	ERR2576556;ERR2576557;ERR2576568;ERR2576569;ERR2576580;ERR2576581;ERR2576592;ERR2576593;ERR2576496;ERR2576497;ERR2576508;ERR2576509;ERR2576520;ERR2576521;ERR2576532;ERR2576533;ERR2576544;ERR2576545;ERR2576436;ERR2576437;ERR2576448;ERR2576449;ERR2576460;ERR2576461;ERR2576472;ERR2576473;ERR2576484;ERR2576485;ERR2576387;ERR2576388;ERR2576400;ERR2576401;ERR2576412;ERR2576413;ERR2576424;ERR2576425	Liver
Gallus_gallus	1.5606024359932	Ovary PRJEB26695	873	7616	ERR2576558;ERR2576559;ERR2576582;ERR2576583;ERR2576510;ERR2576511;ERR2576534;ERR2576535;ERR2576438;ERR2576439;ERR2576462;ERR2576463;ERR2576486;ERR2576487;ERR2576389;ERR2576390;ERR2576414;ERR2576415	Ovary
Gallus_gallus	1.42986040824151	Brain PRJEB26695	1224	7565	ERR2576560;ERR2576561;ERR2576572;ERR2576573;ERR2576584;ERR2576585;ERR2576500;ERR2576501;ERR2576512;ERR2576513;ERR2576524;ERR2576525;ERR2576536;ERR2576537;ERR2576548;ERR2576549;ERR2576440;ERR2576441;ERR2576452;ERR2576453;ERR2576464;ERR2576465;ERR2576476;ERR2576477;ERR2576488;ERR2576489;ERR2576379;ERR2576380;ERR2576391;ERR2576392;ERR2576404;ERR2576405;ERR2576416;ERR2576417;ERR2576428;ERR2576429	Brain
Gallus_gallus	1.50767066340735	Cerebellum PRJEB26695	1969	7537	ERR2576562;ERR2576563;ERR2576574;ERR2576575;ERR2576586;ERR2576587;ERR2576502;ERR2576503;ERR2576514;ERR2576515;ERR2576526;ERR2576527;ERR2576538;ERR2576539;ERR2576550;ERR2576551;ERR2576442;ERR2576443;ERR2576454;ERR2576455;ERR2576466;ERR2576467;ERR2576478;ERR2576479;ERR2576490;ERR2576491;ERR2576381;ERR2576382;ERR2576393;ERR2576394;ERR2576406;ERR2576407;ERR2576418;ERR2576419;ERR2576430;ERR2576431	Cerebellum
Gallus_gallus	1.67558030273675	Testis PRJEB26695	921	7604	ERR2576570;ERR2576571;ERR2576594;ERR2576595;ERR2576498;ERR2576499;ERR2576522;ERR2576523;ERR2576546;ERR2576547;ERR2576450;ERR2576451;ERR2576474;ERR2576475;ERR2576402;ERR2576403;ERR2576426;ERR2576427	Testis
Homo_sapiens	3.75552095949552	Cerebellum PRJEB26969	1017	7575	ERR2598320;ERR2598321;ERR2598322;ERR2598330;ERR2598331;ERR2598332;ERR2598340;ERR2598341;ERR2598352;ERR2598353;ERR2598354;ERR2598355;ERR2598356;ERR2598282;ERR2598283;ERR2598293;ERR2598294;ERR2598295;ERR2598308;ERR2598309;ERR2598318;ERR2598319;ERR2598271;ERR2598272;ERR2598273;ERR2598274;ERR2598078	Cerebellum
Homo_sapiens	2.94266846024285	Kidney PRJEB26969	1250	7680	ERR2598323;ERR2598324;ERR2598325;ERR2598333;ERR2598342;ERR2598343;ERR2598296;ERR2598297;ERR2598298;ERR2598299;ERR2598239;ERR2598240;ERR2598258;ERR2598259;ERR2598186;ERR2598187;ERR2598199;ERR2598200;ERR2598215;ERR2598216;ERR2598112;ERR2598113;ERR2598114;ERR2598128;ERR2598129;ERR2598130;ERR2598139;ERR2598140;ERR2598141;ERR2598156;ERR2598157;ERR2598158;ERR2598058;ERR2598059;ERR2598060;ERR2598081;ERR2598082;ERR2598095;ERR2598096	Kidney
Homo_sapiens	2.78528418992217	Liver PRJEB26969	1173	7676	ERR2598326;ERR2598327;ERR2598334;ERR2598344;ERR2598357;ERR2598358;ERR2598359;ERR2598284;ERR2598285;ERR2598300;ERR2598301;ERR2598310;ERR2598220;ERR2598241;ERR2598242;ERR2598243;ERR2598244;ERR2598260;ERR2598261;ERR2598262;ERR2598275;ERR2598160;ERR2598161;ERR2598162;ERR2598173;ERR2598174;ERR2598175;ERR2598176;ERR2598188;ERR2598189;ERR2598201;ERR2598202;ERR2598217;ERR2598218;ERR2598219;ERR2598115;ERR2598131;ERR2598132;ERR2598142;ERR2598143;ERR2598144;ERR2598159;ERR2598061;ERR2598062;ERR2598063;ERR2598064;ERR2598083;ERR2598084;ERR2598085;ERR2598097	Liver
