#annot_N1N2_sup10: Number of introns with Ns+Na >= 10.
#annotated_intron: Number of annotated introns.
#sequencing_depth: Median per-base read coverage across BUSCO genes.
#average_svr_busco: Average per-intron alternative splicing rate among BUSCO major introns (%).
#no_major_intron: Number of major introns.
#no_compiled_rna_seq: Number of sub-sampled RNA-seq.
#replicate: Replicates number.
#samples: SRA Accession of the RNA-seq samples studied.
#species: Scientific name.
annot_N1N2_sup10	annotated_intron	sequencing_depth	average_svr_busco	no_major_intron	no_compiled_rna_seq	replicate	echantillon	selection	samples	species
5824	11122	23.6065620493085	0.0268521170532571	4882	1	1	all introns	0	ERR2598320	Homo_sapiens
7292	11122	28.3365145661651	0.0234517807634068	6128	1	2	all introns	0	ERR2598321	Homo_sapiens
4250	11122	11.3525810019897	0.0164121937282133	3754	1	3	all introns	0	ERR2598322	Homo_sapiens
6716	11122	30.2185103119885	0.0203053276737714	5829	1	4	all introns	0	ERR2598323	Homo_sapiens
7226	11122	25.2153016775225	0.0209211951054086	6132	1	5	all introns	0	ERR2598324	Homo_sapiens
8095	11122	37.0008622502629	0.0332392549777948	6671	1	6	all introns	0	ERR2598325	Homo_sapiens
7611	11122	52.1812536122881	0.0257181839455992	6320	1	7	all introns	0	ERR2598326	Homo_sapiens
3884	11122	14.3430177288136	0.0185822156512497	3317	1	8	all introns	0	ERR2598327	Homo_sapiens
3814	11122	20.7260550816377	0.0206611808817713	3203	1	9	all introns	0	ERR2598328	Homo_sapiens
5564	11122	20.8272667656277	0.0216046557717092	4769	1	10	all introns	0	ERR2598329	Homo_sapiens
6756	11122	28.2295179981792	0.0273631416378797	5622	1	11	all introns	0	ERR2598330	Homo_sapiens
7376	11122	31.8678550339179	0.0266612491817206	6137	1	12	all introns	0	ERR2598331	Homo_sapiens
5668	11122	16.2853510542092	0.0220591262830379	4909	1	13	all introns	0	ERR2598332	Homo_sapiens
5559	11122	16.630682542426	0.0174146223224712	4844	1	14	all introns	0	ERR2598333	Homo_sapiens
4057	11122	13.94247771836	0.0184058893009211	3519	1	15	all introns	0	ERR2598334	Homo_sapiens
4985	11122	52.814646860726	0.0257241019486792	4159	1	16	all introns	0	ERR2598335	Homo_sapiens
5099	11122	21.3814529623866	0.017770596033893	4653	1	17	all introns	0	ERR2598336	Homo_sapiens
5353	11122	17.8961365582192	0.0195611518214636	4753	1	18	all introns	0	ERR2598337	Homo_sapiens
3920	11122	8.43124303927629	0.0156128791527581	3488	1	19	all introns	0	ERR2598338	Homo_sapiens
4456	11122	11.480854819769	0.0145540074747321	3989	1	20	all introns	0	ERR2598339	Homo_sapiens
6071	11122	27.4321308255318	0.0262185237880483	5077	1	21	all introns	0	ERR2598340	Homo_sapiens
6122	11122	18.3505895253244	0.0238330048920532	5200	1	22	all introns	0	ERR2598341	Homo_sapiens
6814	11122	29.909893463176	0.0203946957084949	5784	1	23	all introns	0	ERR2598342	Homo_sapiens
6222	11122	26.086913777711	0.0178701966775176	5372	1	24	all introns	0	ERR2598343	Homo_sapiens
4600	11122	15.0566399151813	0.019548989397104	3917	1	25	all introns	0	ERR2598344	Homo_sapiens
8023	11122	30.3104895727082	0.0263980605533902	6744	1	26	all introns	0	ERR2598345	Homo_sapiens
7356	11122	47.9735478466363	0.0250808558829526	6146	1	27	all introns	0	ERR2598346	Homo_sapiens
7736	11122	42.8529862857997	0.0229383646118302	6544	1	28	all introns	0	ERR2598347	Homo_sapiens
6806	11122	27.8942842412349	0.0258166266380921	5737	1	29	all introns	0	ERR2598348	Homo_sapiens
5306	11122	20.4098823781179	0.020785106615688	4543	1	30	all introns	0	ERR2598349	Homo_sapiens
9000	11122	97.4758475764131	0.0385838982540581	7092	2	1	all introns	0	ERR2598283,ERR2598273	Homo_sapiens
6436	11122	28.0687311560954	0.0240066899197112	5422	2	2	all introns	0	ERR2598307,ERR2598296	Homo_sapiens
8273	11122	43.5753859868678	0.0243857440300406	6933	2	3	all introns	0	ERR2598165,ERR2598285	Homo_sapiens
9375	11122	78.8081048237853	0.0355855765210115	7380	2	4	all introns	0	ERR2598171,ERR2598361	Homo_sapiens
7783	11122	54.1637498233067	0.0235934930570771	6477	2	5	all introns	0	ERR2598169,ERR2598258	Homo_sapiens
6382	11122	33.6489541986078	0.0234713395757784	5394	2	6	all introns	0	ERR2598062,ERR2598300	Homo_sapiens
8434	11122	45.1772391455369	0.024840172153407	6998	2	7	all introns	0	ERR2598142,ERR2598178	Homo_sapiens
7156	11122	31.4089531931822	0.0242639129375979	6018	2	8	all introns	0	ERR2598332,ERR2598351	Homo_sapiens
7910	11122	54.6041826298929	0.0301210443283001	6411	2	9	all introns	0	ERR2598330,ERR2598234	Homo_sapiens
8447	11122	53.1808513223149	0.0265305840212198	6967	2	10	all introns	0	ERR2598117,ERR2598228	Homo_sapiens
8138	11122	46.9416552811094	0.0300342676708568	6619	2	11	all introns	0	ERR2598330,ERR2598341	Homo_sapiens
8761	11122	56.6099856765179	0.0304041946054742	7129	2	12	all introns	0	ERR2598149,ERR2598226	Homo_sapiens
8229	11122	49.8309653111055	0.0266247629968132	6830	2	13	all introns	0	ERR2598077,ERR2598137	Homo_sapiens
8302	11122	74.2635466070768	0.0287004502012545	6819	2	14	all introns	0	ERR2598244,ERR2598109	Homo_sapiens
